 	i	P	        T						
	511	4.0658948E+04	5.0000000E+02						
	512	4.2383033E+04	5.0000000E+02						
	513	4.4180223E+04	5.0000000E+02						
	514	4.6053621E+04	5.0000000E+02						
	515	4.8006460E+04	5.0000000E+02						
	516	5.0042105E+04	5.0000000E+02						
	517	5.2164072E+04	5.0000000E+02						
	518	5.4376012E+04	5.0000000E+02						
	519	5.6681746E+04	5.0000000E+02						
	520	5.9085256E+04	5.0000000E+02						
	521	6.1590683E+04	5.0000000E+02						
	522	6.4202344E+04	5.0000000E+02						
	523	6.6924757E+04	5.0000000E+02						
	524	6.9762605E+04	5.0000000E+02						
	525	7.2720790E+04	5.0000000E+02						
	526	7.5804406E+04	5.0000000E+02						
	527	7.9018784E+04	5.0000000E+02						
	528	8.2369375E+04	5.0000000E+02						
	529	8.5862130E+04	5.0000000E+02						
	530	8.9502990E+04	5.0000000E+02						
	531	9.3298233E+04	5.0000000E+02						
	532	9.7254413E+04	5.0000000E+02						
	533	1.0137835E+05	5.0000000E+02						
